# 小男生注：
# 向PUK2格式地图添加的素材必须在这里预先设定， 这样便
# 可出现在lib库中。
# 修正dx和修正dy用于调节显示的偏移位置。
#
#BMP	修正dx	修正dy
113001	-78	10
113002	-75	10
113003	-68	-14
113004	-61	-3
113005	-39	-8
113006	-80	30
113007	-65	-22
113008	74	19
113009	-242	64
113010	5	-47
113011	87	32
113012	-246	67
113013	6	-56
113014	-242	65
113015	-61	-27
113016	-59	-14
113017	-62	-13
113018	-70	-21
113019	-70	-11
113020	-74	-19
113021	-45	-14
113022	-213	185
113023	98	-111
113024	-22	73
113025	-224	98
113026	94	-167
113027	-90	-18
113028	-93	-24
113029	-80	-9
113030	-76	-17
113031	-81	-17
113032	-72	-9
113033	-85	-14
113034	-26	12
113035	-22	4
113036	65	158
113037	-32	27
113038	-48	-41
113039	-89	-91
113040	-69	0
113041	-54	-62
113042	-33	-66
113043	-97	-47
113044	-169	101
113045	97	100
113046	108	-5
113047	-60	-55
113048	-30	25
113049	-67	-9
113050	-49	2
113051	-56	4
113052	-60	-31
113053	-45	2
113054	-56	-189
113055	-20	-7
113056	-91	-175
113057	-50	-7
113058	-59	-18
113059	-75	21
113060	-38	0
113061	19	79
113062	-28	-20
113070	-60	-27
113071	-54	-19
113072	-45	-8
113073	-50	-8
113074	-69	-25
113075	-61	-27
113076	-59	-31
113077	-66	-24
113078	-54	-26
113079	-52	-16
113080	-48	-28
113081	-71	-27
113082	-42	-31
113083	-68	-30
113084	-55	-25
113101	-63	-55
113102	-68	-32
113103	-69	-53
113104	-67	-24
113105	-43	-81
113106	-53	-55
113107	-48	-51
113108	-46	-68
113109	-56	8
113110	-62	9
113111	-48	9
113112	-49	8
113113	-49	-4
113114	-53	-6
113115	-47	-18
113116	-52	-30
113117	-59	-5
113118	-59	-22
113119	-66	-9
113120	-62	-15
113121	-66	2
113122	-61	5
113123	-70	10
113124	-58	11
113125	-63	5
113126	-71	-18
113127	-61	-9
113128	-66	-4
113129	-72	-48
113130	-49	-42
113131	-67	-29
113150	-60	0
113151	-55	-3
113152	-62	-6
113200	-61	-23
113201	-68	-22
113202	-64	-21
113203	-55	-14
113204	-62	-24
113205	-59	-23
113206	-62	-36
113207	-62	-41
113208	-55	-22
113209	-51	-31
113210	-64	-25
113211	-64	-30
113213	-72	-22
113214	-61	-3
113215	-54	8
113216	-48	-11
113217	-47	-27
113218	-53	15
113219	-59	-23
113300	-66	-30
113301	-57	-21
113302	-73	-11
113303	-59	-18
113304	-55	-19
113305	-61	55
113306	-64	-14
113307	-63	-21
113308	-57	-14
113309	-62	-12
113310	-58	-8
113311	-71	-14
113312	-67	-12
113313	-54	-5
113314	-64	-4
113315	-56	-11
113316	-72	-24
113317	-86	-19
113400	-60	-13
113401	-61	-23
113402	-74	-7
113403	-56	-20
113404	-53	-27
113405	-62	-10
113406	-48	-10
113407	-58	-18
113408	-58	-9
113409	-64	-9
113410	-57	-10
113411	-50	-12
113412	-62	-24
113602	-65	-15
113603	-63	-18
113610	-66	12
113612	-73	-2
113620	-40	-21
113622	-60	-9
113623	-47	-4
113624	-45	-3
113625	-61	-13
113626	-74	-5
113630	-55	-6
113631	-59	-16
113632	-62	-5
113633	-71	-24
113634	-54	-14
113640	-109	34
113641	-86	42
113642	-32	59
113643	-61	98
113644	-52	69
113645	-40	-11
113650	-74	-14
113651	-60	-16
113652	-57	-40
113653	-71	-10
113654	-74	0
113655	-55	-1
113656	-74	-16
113657	-60	23
113658	-56	10
113659	-78	-5
113660	-70	-12
113661	-67	-19
113662	-52	-26
113663	-70	-5
113664	-52	-8
113665	-67	-25
113666	-54	-20
113667	-67	-16
113668	-61	-1
113669	-59	-11
113680	-53	-16
113681	-64	-11
113682	-52	-7
113684	-59	-16
113685	-54	-25
113686	-58	6
113687	-57	-14
