# 小男生注：
# 向PUK2格式地图添加的素材必须在这里预先设定， 这样便
# 可出现在lib库中。
# 可以使用旧版图档进入PUK2新地图素材，具体cut设置见前
# 2例：其中，起始X=原dx+320，起始Y=原dy+240，宽度高度
# 等于原图的宽度和高度。
# PUK2格式组合图档的切割方式也是先将dx和dy加对应320和
# 240后，再使用新坐标设置起始位置，而非原图实际起始。
# 而像较大建筑物这种，一般需要切割成多个部分再拼接，
# 否则可以造成与人物角色遮挡混乱。
# 修正dx和修正dy用于调节地图中实际显示的偏移位置，也
# 可理解为立足点和所在cut区左上角的相对距离。
# 当定义宽度和高度任意一项为0时该定义无效，仅起分隔作
# 用。
#
# 以下定义导出自原版的cut文件，可在后面自由追加自定义。
#
#图编号	起始X	起始Y	宽度	高度	修正dx	修正dy
#
10000	236	-40	188	299	127	297
10087	219	2	216	257	129	283
#
300066	64	48	128	192	96	168
300066	192	96	128	240	96	216
300066	320	192	128	240	96	216
300066	448	288	64	144	32	120
300066	0	0	0	0	0	0
300374	0	192	256	288	32	264
300374	256	96	256	192	96	168
300374	512	48	128	192	32	72
300374	0	0	0	0	0	0
300375	512	0	128	480	96	504
300375	0	48	384	144	32	120
300375	0	0	0	0	0	0
300377	512	0	128	336	32	312
300377	0	0	0	0	0	0
300401	0	0	128	96	62	2
300401	0	96	128	96	62	1
300401	0	192	128	96	61	2
300401	0	288	128	96	62	-3
300401	0	0	128	96	62	1
300401	0	384	128	96	62	-2
300401	128	0	128	96	62	3
300401	128	96	128	96	63	-2
300401	128	192	128	96	61	0
300401	128	288	128	96	63	-2
300401	128	384	128	96	62	-1
300401	256	0	128	96	62	0
300401	256	96	128	96	61	0
300401	256	192	128	96	62	-2
300401	256	288	128	96	61	0
300401	256	384	128	96	62	-2
300401	0	0	128	96	-2	194
300401	0	96	128	96	-2	193
300401	0	192	128	96	-1	194
300401	0	288	128	96	-2	189
300401	0	0	128	96	-2	193
300401	0	384	128	96	-2	190
300401	128	0	128	96	-2	195
300401	128	96	128	96	-2	190
300401	128	192	128	96	-2	192
300401	128	288	128	96	-1	190
300401	128	384	128	96	-2	191
300401	256	0	128	96	-2	192
300401	256	96	128	96	-2	192
300401	256	192	128	96	-2	190
300401	256	288	128	96	-3	192
300401	256	384	128	96	-2	190
300732	64	240	192	144	62	82
300732	0	96	128	144	62	226
300732	128	96	128	144	62	226
300732	0	0	256	96	126	226
300732	448	240	192	144	89	63
300732	384	96	128	144	89	207
300732	512	96	128	144	89	207
300732	384	0	256	96	153	207
300732	0	0	0	0	0	0
300733	0	192	192	144	62	64
300733	0	48	192	144	126	208
300733	0	0	192	48	126	160
300733	192	384	256	96	142	37
300733	192	336	256	48	14	85
300733	192	192	192	144	78	229
300733	384	240	256	96	180	44
300733	384	144	256	96	116	140
300733	512	0	128	144	52	236
300733	384	0	128	144	52	284
300733	0	0	0	0	0	0
300733	0	0	0	0	-6	0
300734	0	0	128	96	41	74
300734	320	0	128	144	87	193
300734	448	0	192	192	94	236
300734	0	384	256	96	66	30
300734	0	288	256	96	130	126
300734	0	192	256	96	130	174
300734	0	96	256	96	130	222
300734	256	336	192	144	124	132
300734	256	192	192	144	124	228
300734	320	144	64	48	60	180
300734	0	0	0	0	0	0
300735	0	96	192	144	162	138
300735	0	0	192	96	98	186
300735	192	240	64	48	28	28
300735	192	0	64	192	34	234
300735	256	144	128	192	42	117
300735	256	0	128	144	106	213
300735	384	144	256	96	106	117
300735	384	48	256	96	106	165
300735	448	0	192	48	42	165
300735	0	240	128	240	74	165
300735	128	288	128	192	6	150
300735	256	336	128	144	45	68
300735	384	288	128	192	84	186
300735	512	288	128	192	47	171
300735	192	192	64	48	92	28
300735	0	0	0	0	0	0
300736	0	48	128	192	64	204
300736	128	48	128	192	64	252
300736	64	0	192	48	128	156
300736	256	0	64	192	64	204
300736	320	0	128	192	64	252
300736	448	0	64	240	0	252
300736	512	48	64	144	0	204
300736	0	288	128	192	95	114
300736	128	288	64	192	31	162
300736	256	192	128	144	91	147
300736	256	336	128	144	36	107
300736	384	240	128	240	100	265
300736	512	240	128	240	100	217
300736	192	288	64	48	14	36
300736	192	384	64	48	37	59
300736	0	0	0	0	0	0
300737	0	288	128	192	49	172
300737	128	288	128	192	49	172
300737	256	288	128	192	49	124
300737	0	144	192	144	113	220
300737	192	144	192	144	49	220
300737	64	0	192	144	113	268
300737	256	0	192	144	49	268
300737	384	144	64	144	49	220
300737	512	96	128	144	75	92
300737	512	0	128	96	75	140
300737	384	384	256	96	174	124
300737	384	288	256	96	110	172
300737	0	0	0	0	0	0
300738	0	336	192	144	89	143
300738	192	336	128	48	53	64
300738	256	384	64	48	29	37
300738	320	336	128	144	42	149
300738	448	336	192	144	140	125
300738	576	288	64	48	56	46
300738	0	192	192	144	95	168
300738	0	0	128	192	95	264
300738	128	0	128	192	31	264
300738	192	192	64	144	31	168
300738	256	0	64	336	31	329
300738	320	144	128	192	95	215
300738	448	144	128	192	95	167
300738	320	0	192	144	95	215
300738	512	48	64	96	31	167
300738	0	0	0	0	0	0
300739	0	336	192	144	82	143
300739	192	336	256	96	18	95
300739	448	336	128	144	25	123
300739	576	384	64	96	33	72
300739	0	192	192	144	94	179
300739	192	192	128	144	30	179
300739	0	48	192	144	158	227
300739	192	0	128	192	30	275
300739	320	144	128	192	30	245
300739	448	144	128	192	30	149
300739	320	0	128	144	30	245
300739	448	0	128	144	30	245
300739	0	0	0	0	0	0
300740	448	336	192	144	99	181
300740	448	192	192	144	99	229
300740	448	48	192	144	99	277
300740	0	0	128	192	37	275
300740	128	0	128	192	37	275
300740	256	48	192	144	37	227
300740	256	192	192	144	101	227
300740	64	192	192	144	101	179
300740	0	192	64	48	37	131
300740	0	0	0	0	0	0
300741	0	336	128	144	87	115
300741	128	384	256	96	23	89
300741	128	240	128	144	107	139
300741	256	240	128	144	43	139
300741	384	336	128	144	87	188
300741	0	48	128	192	111	255
300741	128	0	192	144	47	255
300741	128	144	192	96	111	159
300741	320	0	192	144	47	351
300741	320	144	256	96	111	159
300741	0	0	0	0	0	0
300742	0	336	192	144	97	184
300742	0	144	128	192	52	177
300742	0	0	192	144	52	225
300742	128	144	128	48	52	81
300742	256	0	128	96	116	124
300742	384	0	128	48	34	63
300742	192	336	192	144	116	188
300742	192	192	192	144	116	236
300742	384	288	128	192	52	188
300742	384	96	128	192	52	284
300742	512	144	128	144	52	284
300742	512	288	128	96	52	188
300742	0	0	0	0	0	0
